date,home_team,away_team,team,scorer,minute,own_goal,penalty
2004-06-12,Portugal,Greece,portugal,cristiano ronaldo,90.0,False,False
2004-06-30,Portugal,Netherlands,portugal,cristiano ronaldo,26.0,False,False
2004-09-04,Latvia,Portugal,portugal,cristiano ronaldo,57.0,False,False
2004-09-08,Portugal,Estonia,portugal,cristiano ronaldo,75.0,False,False
2004-10-13,Portugal,Russia,portugal,cristiano ronaldo,39.0,False,False
2004-10-13,Portugal,Russia,portugal,cristiano ronaldo,69.0,False,False
2004-11-17,Luxembourg,Portugal,portugal,cristiano ronaldo,28.0,False,False
2005-06-04,Portugal,Slovakia,portugal,cristiano ronaldo,42.0,False,False
2005-06-08,Estonia,Portugal,portugal,cristiano ronaldo,32.0,False,False
2006-06-17,Portugal,Iran,portugal,cristiano ronaldo,80.0,False,True
2006-10-07,Portugal,Azerbaijan,portugal,cristiano ronaldo,25.0,False,False
2006-10-07,Portugal,Azerbaijan,portugal,cristiano ronaldo,63.0,False,False
2006-11-15,Portugal,Kazakhstan,portugal,cristiano ronaldo,30.0,False,False
2007-03-24,Portugal,Belgium,portugal,cristiano ronaldo,55.0,False,False
2007-03-24,Portugal,Belgium,portugal,cristiano ronaldo,75.0,False,False
2007-08-22,Armenia,Portugal,portugal,cristiano ronaldo,37.0,False,False
2007-09-08,Portugal,Poland,portugal,cristiano ronaldo,73.0,False,False
2007-10-17,Kazakhstan,Portugal,portugal,cristiano ronaldo,90.0,False,False
2008-06-11,Czech Republic,Portugal,portugal,cristiano ronaldo,63.0,False,False
2010-06-21,Portugal,North Korea,portugal,cristiano ronaldo,87.0,False,False
2010-10-08,Portugal,Denmark,portugal,cristiano ronaldo,85.0,False,False
2010-10-12,Iceland,Portugal,portugal,cristiano ronaldo,3.0,False,False
2011-09-02,Cyprus,Portugal,portugal,cristiano ronaldo,35.0,False,True
2011-09-02,Cyprus,Portugal,portugal,cristiano ronaldo,83.0,False,False
2011-10-11,Denmark,Portugal,portugal,cristiano ronaldo,90.0,False,False
2011-11-15,Portugal,Bosnia and Herzegovina,portugal,cristiano ronaldo,8.0,False,False
2011-11-15,Portugal,Bosnia and Herzegovina,portugal,cristiano ronaldo,53.0,False,False
2012-06-17,Portugal,Netherlands,portugal,cristiano ronaldo,28.0,False,False
2012-06-17,Portugal,Netherlands,portugal,cristiano ronaldo,74.0,False,False
2012-06-21,Czech Republic,Portugal,portugal,cristiano ronaldo,79.0,False,False
2012-09-07,Luxembourg,Portugal,portugal,cristiano ronaldo,28.0,False,False
2013-09-06,Northern Ireland,Portugal,portugal,cristiano ronaldo,68.0,False,False
2013-09-06,Northern Ireland,Portugal,portugal,cristiano ronaldo,77.0,False,False
2013-09-06,Northern Ireland,Portugal,portugal,cristiano ronaldo,83.0,False,False
2013-11-15,Portugal,Sweden,portugal,cristiano ronaldo,82.0,False,False
2013-11-19,Sweden,Portugal,portugal,cristiano ronaldo,50.0,False,False
2013-11-19,Sweden,Portugal,portugal,cristiano ronaldo,77.0,False,False
2013-11-19,Sweden,Portugal,portugal,cristiano ronaldo,79.0,False,False
2014-06-26,Portugal,Ghana,portugal,cristiano ronaldo,80.0,False,False
2014-10-14,Denmark,Portugal,portugal,cristiano ronaldo,90.0,False,False
2014-11-14,Portugal,Armenia,portugal,cristiano ronaldo,72.0,False,False
2015-06-13,Armenia,Portugal,portugal,cristiano ronaldo,29.0,False,True
2015-06-13,Armenia,Portugal,portugal,cristiano ronaldo,55.0,False,False
2015-06-13,Armenia,Portugal,portugal,cristiano ronaldo,58.0,False,False
2016-06-22,Hungary,Portugal,portugal,cristiano ronaldo,50.0,False,False
2016-06-22,Hungary,Portugal,portugal,cristiano ronaldo,62.0,False,False
2016-07-06,Portugal,Wales,portugal,cristiano ronaldo,50.0,False,False
2016-10-07,Portugal,Andorra,portugal,cristiano ronaldo,2.0,False,False
